topic,term,weight
0,訪問,62164.7139053228
0,平日,55901.64630940868
0,待ち,51479.97761951969
0,店内,39853.7774516585
0,到着,28625.003052746917
0,開店,28454.79663764394
0,カウンター,24947.286811919406
0,くらい,22502.854897766072
0,名店,21842.1264774768
0,満席,19103.538636891557
1,時間,44649.16251092954
1,ない,36925.43716376779
1,行列,29195.281033413474
1,訪問,14982.165793677304
1,仕事,12798.8383527498
1,今日,12509.502737807852
1,近く,12200.694157151893
1,営業,11322.661376659164
1,そば,11315.389314850323
1,蕎麦,10274.847664625917
2,カレー,60057.03622359136
2,うどん,43627.124775097334
2,新宿,13603.267301059957
2,注文,9304.734930058514
2,カツ,9100.892292039318
2,名店,6618.664802921653
2,チキン,6328.124754499076
2,ランチ,5368.3112161407325
2,スパイス,5212.27447591585
2,ない,4864.145909861222
3,大阪,19808.190728466554
3,中華,18929.66274093247
3,焼き,15851.2919338101
3,本店,13025.77323512495
3,中華 そば,11067.413776332962
3,そば,10726.25159427641
3,東京,10265.725994557477
3,創業,10265.249714016822
3,名店,10057.095814800856
3,老舗,9004.964182375583
4,スープ,42456.171738896745
4,ラーメン,35149.781538752206
4,つけ,25587.43187012577
4,醤油,23593.034509574063
4,そば,21955.17505758607
4,注文,21430.501169835672
4,チャーシュー,18127.790869048997
4,濃厚,13623.738868258932
4,特製,12151.65507812478
4,訪問,11378.704052918385
5,ランチ,21710.544171690664
5,美味しい,20813.97233245339
5,たい,16215.95349170184
5,予約,15330.639879674747
5,料理,14904.665535167578
5,メニュー,12975.675362795148
5,ない,12358.140676044182
5,注文,12344.734109430521
5,訪問,11694.08917490249
5,もの,8782.274114493006
6,店内,23636.954746404386
6,雰囲気,22516.03767338593
6,パン,22236.008201102806
6,ない,11488.9163898078
6,感じ,11134.562047870313
6,カフェ,10370.10257199487
6,購入,7714.38680061211
6,ケーキ,7475.948389916637
6,東京,6904.210168172267
6,テイクアウト,6559.859328954808
7,ラーメン,88406.0939751144
7,餃子,33589.85387953001
7,味噌,21139.750656191034
7,ない,17249.87832571359
7,博多,8956.895297717747
7,味噌 ラーメン,8032.124870195907
7,美味しい,7194.345088914383
7,チャーハン,7180.316415825474
7,好き,7011.816104902293
7,注文,5976.384801875085
